ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07643;2023-09-20T17:00:00+02:00;101110;-210.0;7;40;4.6;293.15;291.45;90;17000.0;61;;;100.0;;800.0;;;;101020.0;;;;;;;;;;;;6.7;-10.0;;0.0;;;0.0;0.4;;;;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse;;Pluie, sans congélation, continue, faible au moment de l’observation;20.0;;;;;;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;9
07643;2023-08-14T20:00:00+02:00;101610;-40.0;6;120;4.6;296.95;294.65;87;45000.0;0;;;;;;;;;101520.0;;;;296.35;;299.95;;;;;;7.7;-10.0;;0.0;;;;0.0;;0.0;;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;23.80000000000001;23.200000000000045;;26.80000000000001;;;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;8
07643;2023-08-18T08:00:00+02:00;101480;40.0;3;30;3.2;294.75;286.65;60;60000.0;0;;;;0;;;;;101390.0;;;-120.0;291.55;;299.45;;289.15;;;5.0;5.0;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;21.600000000000023;18.400000000000034;;26.30000000000001;;16.0;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;8
07643;2023-09-28T23:00:00+02:00;102030;150.0;1;280;1.0;292.25;290.35;89;15000.0;0;;;;;;;;;101940.0;;;;;;;;;;;;1.5;-10.0;;0.0;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;19.100000000000023;;;;;;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;9
07643;2023-09-29T23:00:00+02:00;102240;170.0;1;320;2.2;297.85;288.45;56;49180.0;0;;;;0;;;;;102150.0;;;210.0;;;;;291.35;;;2.7;4.6;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.2;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;24.700000000000045;;;;;18.200000000000045;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;9
07643;2023-09-30T17:00:00+02:00;102080;-170.0;6;200;4.2;301.65;288.55;45;46610.0;0;;;;0;;;;;101990.0;;;40.0;;;;;287.45;;;6.8;7.6;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;28.5;;;;;14.300000000000011;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;9
07643;2023-10-10T08:00:00+02:00;102270;20.0;3;340;1.6;287.65;287.45;99;210.0;45;;;101.0;9;30.0;;;;102170.0;;;-230.0;286.85;;292.95;;283.15;;;2.5;3.8;-10.0;;0.0;;;0.2;0.2;0.4;0.6;0.6;;;;;0.0;0;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;Brouillard ou brouillard glacé, ciel invisible, sans changement appréciable au cours de l’heure précédente;14.5;13.700000000000045;;19.80000000000001;;10.0;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;10
07643;2023-08-23T20:00:00+02:00;101430;40.0;3;170;1.9;302.35;296.75;72;25740.0;0;;;;0;;;;;101340.0;;;-70.0;299.25;;309.55;;300.25;;;2.7;5.1;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;29.200000000000045;26.100000000000023;;36.400000000000034;;27.100000000000023;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;8
07643;2023-08-24T08:00:00+02:00;101540;100.0;3;30;1.5;297.15;293.05;78;19000.0;0;;;;;;;;;101450.0;;;;294.35;;302.35;;292.15;;;;2.1;-10.0;;0.0;;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;24.0;21.200000000000045;;29.200000000000045;;19.0;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;8
07643;2023-08-26T11:00:00+02:00;101400;100.0;3;250;1.0;298.75;286.55;47;32880.0;61;;;100.0;2;1250.0;;;;101310.0;;;40.0;;;;;292.35;;;3.7;7.4;-10.0;;0.0;;;-0.1;-0.1;-0.1;-0.1;-0.1;;;;;1.0;;1050.0;6.0;;1800.0;7.0;;2220.0;;8;;43.577, 3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;Pluie, sans congélation, continue, faible au moment de l’observation;25.600000000000023;;;;;19.200000000000045;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;8
