X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_fin,statut_valid,x_l93,y_l93,ObjectId,year
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,NO,38,2.8,ug.m-3,annuelle,2023/12/31 23:59:00+00,t,771642,6277340,462,2023
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,NO,38,4.3,ug.m-3,annuelle,2022/12/31 23:59:00+00,t,771642,6277340,463,2022
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,NO,38,4.1,ug.m-3,annuelle,2021/12/31 23:59:00+00,t,771642,6277340,464,2021
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,NO,38,3.7,ug.m-3,annuelle,2020/12/31 23:59:00+00,t,771642,6277340,465,2020
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,NO,38,4.6,ug.m-3,annuelle,2019/12/31 23:59:00+00,t,771642,6277340,466,2019
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,NO,38,5.0,ug.m-3,annuelle,2018/12/31 23:59:00+00,t,771642,6277340,467,2018
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,NO2,8,14.0,ug.m-3,annuelle,2023/12/31 23:59:00+00,t,771642,6277340,468,2023
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,NO2,8,16.2,ug.m-3,annuelle,2022/12/31 23:59:00+00,t,771642,6277340,469,2022
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,NO2,8,14.9,ug.m-3,annuelle,2021/12/31 23:59:00+00,t,771642,6277340,470,2021
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,NO2,8,15.1,ug.m-3,annuelle,2020/12/31 23:59:00+00,t,771642,6277340,471,2020
